Pho85	Hms1	15082539	YPL031C	YMR070W
Pho85	Ssd1	16330754	YPL031C	YDR293C
Pho85	Shs1	16330754	YPL031C	YDL225W
Pho85	Ugp1	16330754	YPL031C	YKL035W
Pho85	Rpg1	16330754	YPL031C	YBR079C
Pho85	Isr1	16330754	YPL031C	YPR106W
Pho85	Ncp1	15082539	YPL031C	YHR042W
Pho85	Sap185	16330754	YPL031C	YJL098W
Pho85	Gts1	16330754	YPL031C	YGL181W
Pho85	YLR190w	12006994	YPL031C	YLR190W
Pho85	Crz1	16455487	YPL031C	YNL027W
Pho85	Rom2	16330754	YPL031C	YLR371W
Pho85	Cdc19	16330754	YPL031C	YAL038W
Pho85	Pho80	15057567	YPL031C	YOL001W
Pho85	Pam1	16330754	YPL031C	YDR251W
Pho85	Pan3	16330754	YPL031C	YKL025C
Pho85	YNR047W	16330754	YPL031C	YNR047W
Pho85	Kcc4	16330754	YPL031C	YCL024W
Pho85	Gcn4	10712509	YPL031C	YEL009C
Pho85	Swi5	10692159	YPL031C	YDR146C
Pho85	Dma1	16330754	YPL031C	YHR115C
Pho85	Epa1	15082539	YPL031C	YJR072C
Pho85	Ame1	16330754	YPL031C	YBR211C
Pho85	Pho81	16330754,15057567	YPL031C	YGR233C
Pho85	Sic1	9725902	YPL031C	YLR079W
Pho85	Smp2	16330754	YPL031C	YMR165C
Pho85	Ksp1	16330754	YPL031C	YHR082C
Pho85	Pho4	16330754,9584169	YPL031C	YFR034C
Pho85	Rvs167	16330754,12857883,9843683	YPL031C	YDR388W
Pho85	Lcb4	15598647	YPL031C	YOR171C
Pho85	Rim15	16308562	YPL031C	YFL033C
Pho85	Glc8	16330754	YPL031C	YMR311C
Pho85	Reg1	16330754	YPL031C	YDR028C
Pho85	Ash1	11703659	YPL031C	YKL185W
Pho85	Gsy2	9584169	YPL031C	YLR258W
Pho85	Gsy1	8754836	YPL031C	YFR015C
Pho85	Bcp1	16330754	YPL031C	YDR361C
Pho85	Vip1	16330754	YPL031C	YLR410W
Pho85	YFR017C	16330754	YPL031C	YFR017C
Pho85	Npl3	16330754	YPL031C	YDR432W
Rim11	Ste50	14555477	YMR139W	YCL032W
Rim11	Ime1	15169885,10891485,10545448	YMR139W	YJR094C
Rim11	Ume6	10891485,10545448	YMR139W	YDR207C
SSK2	SSK2	9482735	YNR031C	YNR031C
Gin4	Shs1	12636916,12058072	YDR507C	YDL225W
Gin4	Ste50	14555477	YDR507C	YCL032W
Gin4	Swe1	12773812	YDR507C	YJL187C
Gin4	Gin4	12058072	YDR507C	YDR507C
Kss1	Dig1	8918885	YGR040W	YPL049C
Kss1	Cdc25	12867033	YGR040W	YLR310C
Kss1	Ste7	8668180	YGR040W	YDL159W
Kss1	Sst2	10593933	YGR040W	YLR452C
Akl1	Scd5	12956961	YBR059C	YOR329C
Rio1	Rio1	12135737	YOR119C	YOR119C
Clk1	Clk1	8939941	YLR248W	YLR248W
Ssk2	Pbs2	12853477,12142009	YNR031C	YJL128C
Ste11	Ste50	10397774	YLR362W	YCL032W
Ste11	Ste7	14732097,12668671,11864977	YLR362W	YDL159W
Ste11	Pbs2	12142009	YLR362W	YJL128C
YMR291W	Tub4	11062466	YMR291W	YLR212C
